"name","sku","category","image_url","page_url"
"Cupboard Swivel Tee Catch Bolt Cast Ant Iron SHAKER 45x40mm","01.350S.AI.60","Cabinet Latches, Latches, Shaker","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.350S.AI_.60-Cupboard-Swivel-Tee-Catch-Granny-Latch-60mm.jpg","https://www.adfixtrade.co.uk/products/cabinet-hardware/latches/cupboard-swivel-tee-catch-bolt-cast-ant-iron-shaker-45x40mm/"
"Cupboard Tee Hinge Point End HF Ant Iron (31.322.AI.180)","31.322.HFA.180","Hinges, Hinges","https://www.adfixtrade.co.uk/wp-content/uploads/2022/04/31.322.HFA_.180-Tee-Hinge-Point-End-Ant-Iron-180mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/hinges-furniture-fittings-architectural-ironmongery/cupboard-tee-hinge-point-end-hf-ant-iron-31-322-ai-180/"
"Curtain Rail Support Bracket Ant Iron (15mm dia) 4″ / 102TBD","70.495T.AI.102","Curtain & Wardrobe Rails, Curtain Rails & Accesories","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/70.495T.AI_.102-Curtain-Rail-Bracket-Ant-Iron-15mm-Rod-100mm.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/hooks-rails-pipework/curtain-wardrobe-rails/curtain-rail-support-bracket-ant-iron-15mm-dia-4-102tbd/"
"Curtain Tieback INCA Style Ant Brass 3″ Diameter","01.338I.AB.130","Curtain & Wardrobe Rails, Curtain Rails & Accesories","","https://www.adfixtrade.co.uk/products/architectural-ironmongery/hooks-rails-pipework/curtain-wardrobe-rails/curtain-tieback-inca-style-ant-brass-3-diameter/"
"Curtain Tieback INCA Style Ant Copper 3″ Diameter","01.338I.AC.130","Curtain & Wardrobe Rails, Curtain Rails & Accesories","","https://www.adfixtrade.co.uk/products/architectural-ironmongery/hooks-rails-pipework/curtain-wardrobe-rails/curtain-tieback-inca-style-ant-copper-3-diameter/"
"Curtain Tieback INCA Style Ant Iron 3″ Diameter","01.338I.AI.130","Curtain & Wardrobe Rails, Curtain Rails & Accesories","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/01.338I.AI_.130-Curtain-Tieback-Inca-Style-Ant-Iron-3-Diameter.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/hooks-rails-pipework/curtain-wardrobe-rails/curtain-tieback-inca-style-ant-iron-3-diameter/"
"Curtain Tieback LEAF Style Ant Brass 3″ Diameter","01.338L.AB.130","Curtain & Wardrobe Rails, Curtain Rails & Accesories","","https://www.adfixtrade.co.uk/products/architectural-ironmongery/hooks-rails-pipework/curtain-wardrobe-rails/curtain-tieback-leaf-style-ant-brass-3-diameter/"
"Curtain Tieback LEAF Style Ant Copper 3″ Diameter","01.338L.AC.130","Curtain & Wardrobe Rails, Curtain Rails & Accesories","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/01.338L.AC_.130-Curtain-Tieback-Leaf-Style-Ant-Copper-3-Diameter.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/hooks-rails-pipework/curtain-wardrobe-rails/curtain-tieback-leaf-style-ant-copper-3-diameter/"
"Curtain Tieback LEAF Style Ant Iron 3″ Diameter","01.338L.AI.130","Curtain & Wardrobe Rails, Curtain Rails & Accesories","","https://www.adfixtrade.co.uk/products/architectural-ironmongery/hooks-rails-pipework/curtain-wardrobe-rails/curtain-tieback-leaf-style-ant-iron-3-diameter/"
"Curtain Tieback OWL Design Ant Copper 3″ Diameter","01.338O.AC.130","Animal, Curtain & Wardrobe Rails, Curtain Rails & Accesories","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/01.338O.AC_.130-Curtain-Tieback-Owl-Design-Antique-Copper-75mm-Dia.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/animal/curtain-tieback-owl-design-ant-copper-3-diameter/"
"Curtain Tieback OWL Design Ant Iron 3″ Diameter","01.338O.AI.130","Animal, Curtain & Wardrobe Rails, Curtain Rails & Accesories","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/01.338O.AI_.130-Curtain-Tieback-OWL-Design-Ant-Iron-75mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/animal/curtain-tieback-owl-design-ant-iron-3-diameter/"
"Curtain Tieback OWL Design Antique Brass 3″ Diameter","01.338O.AB.130","Animal, Curtain & Wardrobe Rails, Curtain Rails & Accesories","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/01.338O.AB_.130-Curtain-Tieback-Owl-Design-Antique-Brass-3-Diameter.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/animal/curtain-tieback-owl-design-antique-brass-3-diameter/"
"D Handle Square Design AZTEC Cast Antique Iron 6″ / 150mm","01.082.AI.150","Pull Handles, Pull Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.082.AI_.150-D-Handle-Cast-Heavy-Antique-Iron-120mm-AF008AI.jpg","https://www.adfixtrade.co.uk/products/architectural-ironmongery/furniture-fittings-architectural-ironmongery/pull-handles-furniture-fittings-architectural-ironmongery/d-handle-celtic-cast-heavy-antique-iron-6-150mm/"
"DELETE – Knob Shaker Type Brushed Nickel on Iron 35mm","09.086.BN.35","Cabinet Knobs, Door Knobs, Knobs, Shaker","","https://www.adfixtrade.co.uk/products/shop-by-style/shaker/knob-shaker-type-brushed-nickel-on-iron-35mm/"
"Display Board – Hooks – Mixed Designs","DISPLAYHOOKS","Retail & Hospitality Fittings, Workshop Consumables","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/Display.jpg","https://www.adfixtrade.co.uk/products/workshop-consumables/display-board-hooks-mixed-designs/"
"Display Board – Miscellaneous Products – Mixed Designs","DISPLAYKNOBS","Retail & Hospitality Fittings, Workshop Consumables","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/Display.jpg","https://www.adfixtrade.co.uk/products/workshop-consumables/display-board-miscellaneous-products-mixed-designs/"
"Display Board Scaffold Board Plain Hand Waxed 700mm 28″ High","DISPLAYBOARD","Retail & Hospitality Fittings, Workshop Consumables","","https://www.adfixtrade.co.uk/products/architectural-ironmongery/retail-hospitality-fittings/display-board-scaffold-board-plain-hand-waxed-700mm-28-high/"
"Door Ball Knob Cast Antique Iron 1.75″ / 44mm","49.086.AI.50","Door Knobs, Door Knobs & Escutcheons, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/49.086.AI_.50-Door-Ball-Knob-50mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-ball-knob-cast-antique-iron-2-0-50mm/"
"Door Bell on Spring SHOP KEEPER Solid Brass Door Mounted","F116.AL","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/F116.AL-Door-Bell-on-Spring-SHOP-KEEPER-Door-Mounted.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-on-spring-shop-keeper-solid-brass-door-mounted/"
"Door Bell Pull Mechanism Complete CLAVERLEY Ceramic 135mm Sq","F133.AL","Door Bells, Miscellaneous, Ornate","https://www.adfixtrade.co.uk/wp-content/uploads/2021/09/F133.AL-Door-Bell-System-Complete-CLAVERLEY.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/ornate/door-bell-pull-mechanism-complete-claverley-ceramic-135mm-sq/"
"Door Bell Push EPPLEWORTH Ant Iron  90mm / 3.5″ dia","01.358E.AI.90","Door Bells, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/01.358E.AI_.90-Bell-Push-Eppleworth-Ant-Iron-90mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-bell-push-eppleworth-ant-iron-90mm-3-5-dia/"
"Door Bell Push EPPLEWORTH Brass & Ant Iron 85mm Dia","F274","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2021/06/F274-Door-Bell-Push-EPPLEWORTH-Brass-Ant-Iron-85mm-Dia.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-eppleworth-brass-ant-iron-85mm-dia/"
"Door Bell Push EPPLEWORTH Brass 85mm Dia","F281","Door Bells, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2021/09/F281-Bell-Push-Eppleworth-Brass-90mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-bell-push-eppleworth-brass-85mm-dia/"
"Door Bell Push FLOWER Cast Antique Iron 90mm","F429","Door Bells, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2022/04/F429-Door-Bell-Push-FLOWER-Cast-Antique-Iron-90mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-bell-push-flower-cast-antique-iron-90mm/"
"Door Bell Push PARAGON Ant Iron 80mm Dia","F278","Door Bells, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/10/F278-Door-Bell-Push-PARAGON-Cast-Ant-Iron-80mm-Dia.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-paragon-ant-iron-80mm-dia/"
"Door Bell Push Plain PARAGON Solid Brass 76mm Dia","F273","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/10/F273-Door-Bell-Push-PARAGON-Brass-80mm-Dia.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-plain-paragon-solid-brass-76mm-dia/"
"Door Bell Push Press ART NOUVEAU 80 x 35mm Solid Brass","01.358A.SB.80","Art Deco & Art Nouveau, Door Bells, Door Furniture","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.358A.SB_.80-Door-Bell-Push-Press-Art-Nouveau-80-x-35mm-Solid-Brass.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/art-deco/door-bell-push-press-art-nouveau-80-x-35mm-solid-brass/"
"Door Bell Push PRESS HERE Cast Iron & Brass 80mm Dia","F362","Door Bells, Door Furniture, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/12/F362-Bell-Push-PRESS-HERE-Cast-Ant-IronCircular-63mm-1.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-bell-push-press-here-cast-iron-brass-80mm-dia/"
"Door Bell Push PRESS HERE Epoxy Black Cast Iron & Brass 65mm","F373","Door Bells, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2021/09/F373-Door-Bell-Push-PRESS-HERE-Epoxy-Black-Cast-Iron-Brass-65mm-2.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-bell-push-press-here-epoxy-black-cast-iron-brass-65mm/"
"Door Bell Push PRESS HERE Solid Brass 62mm Dia","F340","Door Bells, Door Furniture, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2021/06/F340-Door-Bell-Push-PRESS-HERE-Solid-Brass-62mm-Dia.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-bell-push-press-here-solid-brass-80mm-dia/"
"Door Bell Push Press KENRICK 78 x 32mm Solid Brass","01.358K.SB.78","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.358K.SB_.78-Door-Bell-Push-Press-Kenrick-78-x-32mm-Solid-Brass.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-press-kenrick-78-x-32mm-solid-brass/"
"Door Bell Push Press MINSTER design 75 x 27mm Solid Brass","01.358M.SB.75","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.358M.SB_.75-Door-Bell-Push-Press-Minster-design-75-x-27mm-Solid-Brass.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-press-minster-design-75-x-27mm-solid-brass/"
"Door Bell Push Press RETRO design 75 x 30mm Solid Brass","01.358R.SB.75","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.358R.SB_.75-Door-Bell-Push-Press-Retro-design-75-x-30mm-Solid-Brass.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-press-retro-design-75-x-30mm-solid-brass/"
"Door Bell Push PRESS Round Chrome Plate 60mm / 2.5mm dia","01.358.CPB.63","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/01.358.CPB_.63-Door-Bell-Push-PRESS-CPB-60mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-press-round-chrome-plate-60mm-2-5mm-dia/"
"Door Bell Push PRESS Round Solid Brass 60mm / 2.5″ Dia","01.358.SB.63","Door Bells, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.358.SB_.63-Bell-Push-Brass-Round-63mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-bell-push-press-round-solid-brass-60mm-2-5-dia/"
"Door Bell Push QUATREFOIL Ant Iron 100 x 100mm","F276","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/10/F276-Bell-Push-QUATREFOIL-Brass-Cast-Ant-Iron-100mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-quatrefoil-ant-iron-100-x-100mm/"
"Door Bell Push ROCOCCO Chrome 60mm / 2.5″ Dia – TBD","01.385J.CPB.63","Door Bells, Ornate","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/01.385J.CPB_.63-Door-Bell-Push-ROCOCCO-CPB-60mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/ornate/door-bell-push-rococco-chrome-60mm-2-5-dia/"
"Door Bell Push ROCOCCO Solid Brass 60mm / 2.5″ dia","01.385J.SB.60","Door Bells, Door Furniture, Ornate","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.385J.SB_.60-Door-Bell-Push-Rococco-SB-60mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/ornate/door-bell-push-rococco-solid-brass-60mm-2-5-dia/"
"Door Bell Push VISITORS WELCOME Cast Antique Iron 80mm Dia","F275","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/10/F275-Bell-Push-VISITORS-WELCOME-Cast-Ant-Iron-80mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-visitors-welcome-cast-antique-iron-80mm-dia/"
"Door Bell Push VISITORS WELCOME Solid Brass 82mm dia","F272","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/10/F272-Bell-Push-VISITORS-WELCOME-Brass-80mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-push-visitors-welcome-solid-brass-80mm-dia/"
