"name","sku","page_url","specifications","img_url"
"Tubular latch silver enamel 44.5mm","J2648-SE-2.50","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-latch-silver-enamel-44-5mm","2648 tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/J2648-SE-2.50.jpg"
"Rebated tubular latch electro brass 57mm","J2650-EB-3.00","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/rebated-tubular-latch-electro-brass-57mm","2650 rebated tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/J2650%20EB%203%2000.jpg"
"Heavy duty tubular latch","YHD26S-PB/SS-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/heavy-duty-tubular-latch-yhd26s-pb-ss-3-0","Heavy duty tubular latch for doors hinged on the left or right. Latch bolt withdrawn by the lever handle from either side. Both 2.5"" and 3"" cases pierced to accept bolt through furniture. Bolt through fixings allows a more secure, longstanding fixing of do","https://d3oaxe41u6vpgy.cloudfront.net/YHD26S%20PB%20SS%203%200.jpg"
"Tubular latch polished brass 44.5mm","Y2648-PL-2.50","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-latch-polished-brass-44-5mm","2648 tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/J2648-PL-2.50.jpg"
"Rebated tubular latch electro brass 44.5mm","Y2650-EB-2.50","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/rebated-tubular-latch-electro-brass-44-5mm","2650 rebated tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/Y2650%20EB%202%2050.jpg"
"Essential tubular latch polished brass 57mm","Y2600-PL-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/essential-tubular-latch-polished-brass-57mm","Essential tubular latch with durable nylon latch for quieter locking, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has universal handing","https://d3oaxe41u6vpgy.cloudfront.net/Y2600-PL-3.0.jpg"
"Tubular latch polished brass 57mm","Y2648-PL-3.00","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-latch-polished-brass-57mm","2648 tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/J2648-PL-3.50.jpg"
"Rebated tubular latch electro brass 44.5mm","Y2650-EB-3.00","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/rebated-tubular-latch-electro-brass-44-5mm-y2650-eb-3-00","2650 rebated tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/Y2650%20EB%203%2000.jpg"
"Hd26 heavy duty tubular latch stainless steel 45mm 2.5","YHD26S-PB/SS-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/hd26-heavy-duty-tubular-latch-stainless-steel-45mm-2-5-yhd26s-pb-ss-2-5","Hd26 heavy duty tubular latch suitable for sprung and light unpsrung lever furniture and knob furniture, features a profiled bevelled latch bolt for smooth and positive engagement, universally handed and supplied with square and radius faceplates","https://d3oaxe41u6vpgy.cloudfront.net/YHD26S%20PB%20SS%202%205.jpg"
"Tubular latch silver enamel 44.5mm","Y2648-SE-2.50","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-latch-silver-enamel-44-5mm-y2648-se-2-50","2648 tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/Y2648%20SE%202%2050.jpg"
